Product ID,Name,Storage,Category,Sub-Category,Tags,Size,Weight,UnitPrice,UnitPack,PackPricing
BCF-02-B-011,Chicken Nuggets,Frozen,Fried Items,Fried Items- Chicken,"frozen, 5 min meals",-,1 kg pack,285,-,285
BCF-02-B-012,Chicken Pops,Frozen,Fried Items,Fried Items-Chicken,"frozen, 5 min meals",-,1 kg pack,290,-,290
BCF-02-B-013,Chicken Wings - Crunchy,Frozen,Fried Items,Fried Items-Chicken,"frozen, 5 min meals",-,12 pc pack,195,-,195
BCF-02-B-014,Chicken Wings - Marinated(with skin),Frozen,Fried Items,Fried Items- Chicken,"frozen, 5 min meals",-,12 pc pack,185,-,185
BCF-02-B-015,Chicken Strips - M,Frozen,Fried Items,Fried Items- Chicken,"frozen, 5 min meals",M,20-22 grms,12,20,240
BCF-02-B-016,Chicken Strips - L,Frozen,Fried Items,Fried Items- Chicken,"frozen, 5 min meals",L,28-30 gms,16,20,320
BCF-02-B-017,Chicken Samosa - M,Frozen,Fried Items,Fried Items-Chicken,"frozen, 5 min meals",M,28-30 gms,12,30,360
BCF-02-B-018,Chicken Samosa - L,Frozen,Fried Items,Fried Items- Chicken,"frozen, 5 min meals",L,40-44 gms,16,30,480
BCF-02-B-019,Chicken Spring Roll - S,Frozen,Fried Items,Fried Items- Chicken,"frozen, 5 min meals",S,45-50 gms,14,30,420
BCF-02-B-020,Chicken Spring Roll - M,Frozen,Fried Items,Fried Items-Chicken,"frozen, 5 min meals",M,65-70 grms,19,20,380
BCF-02-C-001,Paneer Cutlet - M,Frozen,Fried Items,Fried Items- Veg,"frozen, 5 min meals",M,53-56 gms,24,20,480
BCF-02-C-002,Paneer Cutlet - L,Frozen,Fried Items,Fried Items- Veg,"frozen, 5 min meals",L,73-76 gms,38,20,760
BCF-02-C-003,Paneer Finger - M,Frozen,Fried Items,Fried Items- Veg,"frozen, 5 min meals",M,27-30 gms,9,30,270
BCF-02-C-004,Paneer Finger - L,Frozen,Fried Items,Fried Items- Veg,"frozen, 5 min meals",L,35-38 gms,12,30,360
BCF-02-C-005,Veg Cheeseball - M,Frozen,Fried Items,Fried Items- Veg,"frozen, 5 min meals",M,16-18 gms,11,40,440
BCF-02-C-006,Veg Cheeseball - L,Frozen,Fried Items,Fried Items- Veg,"frozen, 5 min meals",L,28-30 gms,14,40,560
BCF-02-C-007,Veg Burger Patty - M,Frozen,Fried Items,Fried Items- Veg,"frozen, 5 min meals",M,40-44 gms,11,30,330
BCF-02-C-008,Veg Burger Patty - L,Frozen,Fried Items,Fried Items- Veg,"frozen, 5 min meals",L,55-58 gms,13,30,390
BCF-02-C-009,Aloo Tikki - L,Frozen,Fried Items,Fried Items- Veg,"frozen, 5 min meals",L,40-44 gms,10,30,300
BCF-02-C-010,Samosa Bengali Fulgobi - M,Frozen,Fried Items,Fried Items- Veg,"frozen, 5 min meals",M,28-30 gms,9,30,270
BCF-02-C-011,Samosa Bengali Fulgobi - L,Frozen,Fried Items,Fried Items- Veg,"frozen, 5 min meals",L,40-44 gms,12,30,360
BCF-02-C-012,Samosa Punjabi Masala - M,Frozen,Fried Items,Fried Items- Veg,"frozen, 5 min meals",M,28-30 gms,10,30,300
BCF-02-C-013,Samosa-Corn Cheese - M,Frozen,Fried Items,Fried Items- Veg,"frozen, 5 min meals",M,28-30 gms,12,30,360
BCF-02-C-014,Samosa - Matar Paneer - M,Frozen,Fried Items,Fried Items- Veg,"frozen, 5 min meals",M,28-30 gms,12,30,360
BCF-02-C-015,Soya Chaap,Frozen,Fried Items,Fried Items- Veg,"frozen, 5 min meals",-,65-70 gms,21,30,630
BCF-02-C-016,Veg Spring Roll - M,Frozen,Fried Items,Fried Items- Veg,"frozen, 5 min meals",M,45-50 gms,11,30,330
BCF-02-C-017,Veg Spring Roll - L,Frozen,Fried Items,Fried Items- Veg,"frozen, 5 min meals",L,65-70 gms,14,20,280
BCF-02-C-018,Classic Aloo Vada (Vada Pav),Frozen,Fried Items,Fried Items- Veg,"frozen, 5 min meals",-,28-30 gms,11,30,330
BCF-02-C-019,Hara Bhara Kebab,Frozen,Fried Items,Fried Items- Veg,"frozen, 5 min meals",-,18-21 gms,8,30,240
BCF-02-C-020,Falafel,Frozen,Fried Items,Fried Items- Veg,"frozen, 5 min meals",-,38-40 gms,22,30,660
BCF-02-C-021,Cheese Corn Nuggets,Frozen,Fried Items,Fried Items- Veg,"frozen, 5 min meals",-,1 kg pack,395,-,395
BCF-02-C-022,Potato Garlic Poppers,Frozen,Fried Items,Fried Items- Veg,"frozen, 5 min meals",-,1 kg pack,230,-,230
BCF-02-C-023,Cheese Jalapeno Poppers,Frozen,Fried Items,Fried Items- Veg,"frozen, 5 min meals",-,1 kg pack,385,-,385
BCF-03-A-001,Chicken Kebab - Tikka,Frozen,Multi-use Meat,Kebab/Grills,"frozen, 10 min meals",-,22-24 gms,16,24,384
BCF-03-A-002,Chicken Kebab - Reshmi,Frozen,Multi-use Meat,Kebab/Grills,"frozen, 10 min meals",-,22-24 gms,18,24,432
BCF-03-A-003,Chicken Kebab - Hariyali,Frozen,Multi-use Meat,Kebab/Grills,"frozen, 10 min meals",-,22-24 gms,17,24,408
BCF-03-A-004,Chicken Kebab - Banjara,Frozen,Multi-use Meat,Kebab/Grills,"frozen, 10 min meals",-,22-24 grms,17,24,408
BCF-03-A-005,Chicken Kebab - Malai,Frozen,Multi-use Meat,Kebab/Grills,"frozen, 10 min meals",-,22-24 gms,18,24,432
BCF-03-A-006,Chicken Grill - Base Marinade,Frozen,Multi-use Meat,Kebab/Grills,"frozen, 10 min meals",-,20-22 gms,12,24,288
BCF-03-A-007,Fish Kebab - Tikka.,Frozen,Multi-use Meat,Kebab/Grills,"frozen, 10 min meals",-,22-24 gms,32,24,768
BCF-03-A-008,Fish Kebab - Reshmi,Frozen,Multi-use Meat,Kebab/Grills,"frozen, 10 min meals",-,22-24 gms,18,24,432
BCF-03-A-009,Fish Kebab- Hariyali,Frozen,Multi-use Meat,Kebab/Grills,"frozen, 10 min meals",-,22-24 grms,17,24,408
BCF-03-A-010,Fish Kebab - Banjara,Frozen,Multi-use Meat,Kebab/Grills,"frozen, 10 min meals",-,22-24 gms,17,24,408
BCF-03-A-011,Fish Kebab - Malai,Frozen,Multi-use Meat,Kebab/Grills,"frozen, 10 min meals",-,22-24 gms,18,24,432
BCF-03-A-012,Fish Grill- Base Marinade,Frozen,Multi-use Meat,Kebab/Grills,"frozen, 10 min meals",-,20-22 gms,28,24,672
BCF-03-B-001,Garlic Pulled Chicken,Frozen,Multi-use Meat,Pulled Chicken,"frozen, 10 min meals",-,1 Kg,460,-,460
BCF-03-B-002,BBQ Pulled Chicken,Frozen,Multi-use Meat,Pulled Chicken,"frozen, 10 min meals",-,1 Kg,485,-,485
BCF-03-B-003,Schezwan Pulled Chicken,Frozen,Multi-use Meat,Pulled Chicken,"frozen, 10 min meals",-,1 Kg,495,-,495
BCF-03-C-001,Chicken Seekh Kebab,Frozen,Multi-use Meat,Seekh Kebab,"frozen, 10 min meals",-,1 Kg,28,-,28
BCF-03-C-002,Mutton Seekh Kebab,Frozen,Multi-use Meat,Seekh Kebab,"frozen, 10 min meals",-,1 Kg,660,-,660
BCF-03-D-001,Chicken Sausage - Breakfast,Frozen,Multi-use Meat,Sausage,"frozen, 10 min meals",-,1 Kg,625,-,625
BCF-03-D-002,Chicken Sausage - Cheesy Jalapeno,Frozen,Multi-use Meat,Sausage,"frozen, sauces",-,1 Kg,685,-,685
BCF-03-D-003,Chicken Sausage - Smokey,Frozen,Multi-use Meat,Sausage,"frozen, sauces",-,1 Kg,685,-,685
BCF-05-A-002,Pan Fry Sauce,Chilled,Sauce/Marinade,Momo Sauce,"frozen, sauces",-,1. Kg,225,-,225
BCF-05-A-003,Tangy Mustard Sauce,Shelf-stable,Sauce/Marinade,Indian Dip,"frozen, sauces",-,1 Kg,120,-,120
BCF-05-A-004,Chilli Chinese Sauce,Chilled,Sauce/Marinade,Chinese Ready Sauce,"frozen, sauces",-,1 Kg,360,-,360
BCF-05-A-005,Garlic Chinese Sauce,Chilled,Sauce/Marinade,Chinese Ready Sauce,"frozen, sauces",-,1 Kg,350,-,350
BCF-05-A-006,Manchurian Chinese Sauce,Chilled,Sauce/Marinade,Chinese Ready Sauce,"frozen, sauces",-,1 kg,420,-,420
BCF-05-A-007,Red Chilli Paste,Chilled,Sauce/Marinade,Chinese Ready Sauce,"frozen, sauces",-,1 Kg,570,-,570
BCF-05-A-008, Teriyaki Sauce (Ch Wings / Oriental Mains),Chilled,Sauce/Marinade,Chinese Ready Sauce,"frozen, sauces",-,1 Ke,340,-,340
BCF-05-A-009,BBQ Sauce (Ch Wings/ Stick Kebab / BBQ),Chilled,Sauce/Marinade,Chinese Wings Sauce,"frozen, sauces",-,1 Kg,410,-,410
BCF-05-A-010,Hot Buffalo Sauce (Ch Wings/ Stick Kebab / BBQ),Chilled,Sauce/Marinade,Chinese Wings Sauce,"frozen, sauces",-,1 Kg,445,-,445
BCF-05-A-011,Satay Sauce (Ch Wings/ Stick Kebab / BBQ),Chilled,Sauce/Marinade,Chinese Wings Sauce,"frozen, sauces",-,1 Kg,860,-,860
BCF-05-A-012,Tartar Sauce,Chilled,Sauce/Marinade,Continental Dip,"frozen, sauces",-,1 Kg,380,-,380
BCF-05-A-013,Tikka Marinade,Chilled,Sauce/Marinade,Kebab Marinade,"frozen, sauces",-,1 Kg,490,-,490
BCF-05-A-014,Hariyali Marinade,Chilled,Sauce/Marinade,Kebab Marinade,"frozen, sauces",-,1 Kg,560,-,560
BCF-05-A-015,Reshmi Marinade,Chilled,Sauce/Marinade,Kebab Marinade,"frozen, sauces",-,1 Kg,680,-,680
BCF-05-A-016,Banjara Marinade,Chilled,Sauce/Marinade,Kebab Marinade,"frozen, sauces",-,1 Kg,520,-,520
BCF-05-A-017,Red Chutney,Chilled,Sauce/Marinade,Chaat Sauce,"frozen, sauces",-,1 Kg,220,-,220
BCF-05-A-018,Green Chutney,Chilled,Sauce/Marinade,Chaat Sauce,"frozen, sauces",-,1 Kg,290,-,290
BCF-05-A-019,Vada Pav Khara Masala,Shelf-stable,Sauce/Marinade,Sauce/Marinade,"frozen, sauces",-,1 Kg,360,-,360
BCF-R1-A-001,Chicken Whole - with skin,Fresh/Frozen,Raw Meat,Raw Chicken,fresh meat,-,1 kg pack,0,-,0
BCF-R1-A-002,Chicken Whole - skinless,Fresh,Raw Meat,Raw Chicken,fresh meat,-,1 kg pack,0,-,0
BCF-R1-A-003,Chicken Curry Cut,Fresh,Raw Meat,Raw Chicken,fresh meat,-,1 kg pack,0,-,0
BCF-R1-A-004,Chicken Breast Boneless,Fresh / Frozen,Raw Meat,Raw Chicken,fresh meat,-,1 kg pack,0,-,0
BCF-R1-A-005,Chicken Thigh Boneless,Fresh,Raw Meat,Raw Chicken,fresh meat,-,1 kg pack,0,-,0
BCF-R1-A-006,Chicken Drumstick / Thigh,Fresh,Raw Meat,Raw Chicken,fresh meat,-,1 kg pack,0,-,0
BCF-R1-A-007,Chicken Keema,Fresh,Raw Meat,Raw Chicken,fresh meat,-,1 kg pack,0,-,0
BCF-R1-A-008,Chicken Wings - skinless,Fresh,Raw Meat,Raw Chicken,fresh meat,-,1 kg pack,0,-,0
BCF-R1-A-009,Chicken Wings - with Skin,Fresh / Frozen,Raw Meat,Raw Chicken,fresh meat,-,1 kg pack,0,-,0
BCF-R1-A-010,Chicken Biryani Cut,Fresh,Raw Meat,Raw Chicken,fresh meat,-,1 kg pack,0,-,0
BCF-R1-A-011,Chicken Small Tandoori,Fresh,Raw Meat,Raw Chicken,fresh meat,-,1 kg pack,0,-,0
BCF-R1-A-012,Chicken Liver/Gizzard/Heart,Fresh.,Raw Meat,Raw Chicken,fresh meat,-,1 kg pack,0,-,0
BCF-R1-A-013,Chicken V cut,Fresh,Raw Meat,Raw Chicken,fresh meat,-,1 kg pack,0,-,0
BCF-R1-A-014,Chicken Soup Bone (meat on),Fresh,Raw Meat,Raw Chicken,fresh meat,-,1 kg pack,0,-,0
BCF-04-A-001,Jhuri Aloo Bhaja,Shelf-stable,Indian Main Course,Indian Bengali,"10 min meals, indian",-,1 Kg,360,-,360
BCF-04-A-002,Chicken Kasha (3 pcs),Chilled,Indian Main Course,Indian Bengali,"10 min meals, indian",-,Plate,96,-,96
BCF-04-A-003,Chicken Dakbungalow (3 pcs),Chilled,Indian Main Course,Indian Bengali,"10 min meals, indian",-,Plate,111,-,111
BCF-04-A-004,Doi Chicken (3 pcs),Chilled,Indian Main Course,Indian Bengali,"10 min meals, indian",-,Plate,112,-,112
BCF-04-A-005,Mutton Kasha (3 pcs),Frozen,Indian Main Course,Indian Bengali,"10 min meals, indian",-,Plate,290,-,290
BCF-04-A-006,Mutton Dakbungalow (3 pcs),Frozen,Indian Main Course,Indian Bengali,"10 min meals, indian",-,Plate,280,-,280
BCF-04-A-007,Katla Kalia (Gravy only),Frozen,Indian Main Course,Indian Bengali,"10 min meals, indian",-,1 Kg,245,-,245
BCF-04-A-008,Doi Katla (Gravy only),Frozen,Indian Main Course,Indian Bengali,"10 min meals, indian",-,1 Kg,265,-,265
BCF-04-A-009,Ghugni,Chilled,Indian Main Course,Indian Bengali,"10 min meals, indian",-,1 Kg,160,-,160
BCF-04-A-010,Chingri Malai (Gravy only),Frozen,Indian Main Course,Indian-General,"10 min meals, indian",-,1 Kg,280,-,280
BCF-04-A-011,Chicken Stew (3 pcs),Chilled,Indian Main Course,Indian-General,"10 min meals, indian",-,Plate,94,-,94
BCF-04-A-012,Veg Stew (1 serving),Chilled,Indian Main Course,Indian-General,"10 min meals, indian",-,Plate,76,-,76
BCF-04-A-013,Mix Veg,Frozen,Indian Main Course,Indian-General,"10 min meals, indian",-,1 Kg,220,-,220
BCF-04-A-014,Paneer Makhani Gravy,Frozen,Indian Main Course,Indian-General,"10 min meals, indian",-,1 Kg,250,-,250
BCF-04-A-015,Kofta Gravy,Frozen,Indian Main Course,Indian-General,"10 min meals, indian",-,1 Kg,220,-,220
BCF-04-A-016,Dal Fry,Frozen,Indian Main Course,Indian-General,"10 min meals, indian",-,1 Kg,150,-,150
BCF-04-A-017,Choley,Chilled,Indian Main Course,Indian-General,"10 min meals, indian",-,1 Kg,270,-,270
BCF-04-A-018,Pav Bhaji Gravy,Frozen,Indian Main Course,Indian-General,"10 min meals, indian",-,1 Kg,210,-,210
BCF-04-A-019,Red Gravy,Frozen,Indian Main Course,Indian-General,"10 min meals, indian",-,1 Kg,320,-,320
BCF-04-A-020,White Gravy,Frozen,Indian Main Course,Indian-General,"10 min meals, indian",-,1 Kg,420,-,420
BCF-04-A-021,Yellow Gravy,Frozen,Indian Main Course,Indian-General,"10 min meals, indian",-,1 Kg,350,-,350
BCF-04-A-022,Matar Polao,Chilled,Indian Main Course,Indian-General,"10 min meals, indian",-,1 Kg,220,-,220
BCF-04-A-023,Maharaja Polao,Chilled,Indian Main Course,Sub-Category,"10 min meals, indian",-,1 Kg,260,-,260
BCF-04-A-024,Basanti Polao,Chilled,Indian Main Course,Sub-Category,"10 min meals, indian",-,1 Kg,360,-,360
BCF-04-A-025,Kashmiri Polao,Chilled,Indian Main Course,Sub-Category,"10 min meals, indian",-,1 Kg,280,-,280
BCF-06-A-001,Chicken Biryani - Grade A,Hot,Biryani,Kolkata Biryani,"10 min meals, indian",-,Plate,110,-,110
BCF-06-A-002,Mutton Biryani - Grade A,Hot,Biryani,Kolkata Biryani,"10 min meals, indian",-,Plate,190,-,190
BCF-06-A-003,Extra Chicken - Grade A,Hot,Biryani,Kolkata Biryani,"10 min meals, indian",-,Piece,60,-,60
BCF-06-A-004,Extra Mutton - Grade A,Hot,Biryani,Kolkata Biryani,"10 min meals, indian",-,Piece,140,-,140
BCF-06-A-005,Extra Rice - Grade A,Hot,Biryani,Kolkata Biryani,"10 min meals, indian",-,Piece,50,-,50
BCF-06-A-006,Extra Aloo - Grade A,Hot,Biryani,Kolkata Biryani,"10 min meals, indian",-,Piece,15,-,15
BCF-06-A-007,Chicken Biryani - Grade B,Hot,Biryani,Kolkata Biryani,"10 min meals, indian",-,Plate,85,-,85
BCF-06-A-008,Mutton Biryani - Grade B,Hot,Biryani,Kolkata Biryani,"10 min meals, indian",-,Plate,130,-,130
BCF-06-A-009,Extra Chicken - Grade B,Hot,Biryani,Kolkata Biryani,"10 min meals, indian",-,Piece,45,-,45
BCF-06-A-010,Extra Mutton - Grade B,Hot,Biryani,Kolkata Biryani,"10 min meals, indian",-,Piece,90,-,90
BCF-06-A-011,Extra Rice - Grade B,Hot,Biryani,Kolkata Biryani,"10 min meals, indian",-,Piece,50,-,50
BCF-06-A-012,Extra Aloo,Hot,Biryani,Kolkata Biryani,"10 min meals, indian",-,Piece,15,-,15
BCF-06-A-013,Extra Katla,Hot,Biryani,Kolkata Biryani,"10 min meals, indian",-,Piece,80,-,80
BCF-06-A-014,Extra Bagda Chingri,Hot,Biryani,Kolkata Biryani,"10 min meals, indian",-,Piece,100,-,100
BCF-06-A-015,Extra Boiled Egg,Hot,Biryani,Kolkata Biryani,"10 min meals, indian",-,Piece,15,-,15
BCF-06-A-016,Chicken Biryani,Hot,Biryani,Dhakal Kacchi Biryani,"10 min meals, indian",-,Plate,120,-,120
BCF-06-A-017,Mutton Biryani,Hot,Biryani,Dhakai Kacchi Biryani,"10 min meals, indian",-,Plate,200,-,200
BCF-06-A-018,Extra Chicken,Hot,Biryani,Dhakai Kacchi Biryani,"10 min meals, indian",-,Piece,70,-,70
BCF-06-A-019,Extra Mutton,Hot,Biryani,Dhakai Kacchi Biryani,"10 min meals, indian",-,Piece,150,-,150
BCF-06-A-020,Katla,Hot,Biryani,Dhakal Kacchi Biryani,"10 min meals, indian",-,Piece,90,-,90
BCF-06-A-021,Bagda Chingri,Hot,Biryani,Dhakai Kacchi Biryani,"10 min meals, indian",-,Piece,110,-,110
BCF-06-A-022,Chicken Biryani,Hot,Biryani,Hyderabadi Biryani,"10 min meals, indian",-,Plate,120,-,120
BCF-06-A-023,Mutton Biryani,Hot,Biryani,Hyderabadi Biryani,"10 min meals, indian",-,Plate,200,-,200
BCF-06-A-024,Extra Chicken,Hot,Biryani,Hyderabadi Biryani,"10 min meals, indian",-,Piece,70,-,70
BCF-06-A-025,Extra Mutton,Hot,Biryani,Hyderabadi Biryani,"10 min meals, indian",-,Piece,150,-,150
BCF-07-A-001,Walnut Brownie,Frozen,Dessert,Brownie/Cake,desserts,-,80-82 gms,25,10,250
BCF-07-A-002,Chocochip Brownie,Frozen,Dessert,Brownie/Cake,desserts,-,80-82 gms,24,10,240
BCF-07-A-003,Hazelnut Brownie,Frozen,Dessert,Brownie/Cake,desserts,-,80-82 gms,30,10,300
BCF-07-A-004,Choco Lava,Frozen,Dessert,Brownie/Cake,desserts,-,80-82 gms,24,10,240
BCF-07-A-005,Oreo Choco Lava,Frozen,Dessert,Brownie/Cake,desserts,-,80-82 gms,24,10,240
